CustomerId,CustomerName,CustomerSurname,CustomerEmail,CustomerDistrict,CustomerCity,CustomerCountry,CustomerGender,CustomerBalance,CustomerCreatedDate,CustomerIsActive
1,Giulia,Rossi,giulia.rossi@i̇talya.shop,San Donato,Palermo,İtalya,Kadın,17005.03,2026-01-31,1
2,Piotr,Zieliński,piotr.zieliński@polonya.shop,Centrum,Wroclaw,Polonya,Kadın,12004.84,2026-01-03,1
3,Emre,Aydın,emre.aydın@türkiye.shop,Konak,İzmir,Türkiye,Kadın,2217.99,2026-02-08,1
4,Maria,Dimitriou,maria.dimitriou@yunanistan.shop,Kalamaria,Atina,Yunanistan,Kadın,6690.59,2026-01-05,1
5,Marko,Jovanović,marko.jovanović@sırbistan.shop,Mediana,Novi Sad,Sırbistan,Erkek,31660.96,2026-02-08,1
6,Ayşe,Demir,ayşe.demir@türkiye.shop,Şişli,Eskişehir,Türkiye,Kadın,4911.29,2026-02-17,1
7,Marco,Bianchi,marco.bianchi@i̇talya.shop,Lingotto,Torino,İtalya,Erkek,16865.91,2026-01-16,1
8,Elena,Marin,elena.marin@romanya.shop,Sector 1,Köstence,Romanya,Kadın,35553.93,2026-01-29,1
9,Felix,Klein,felix.klein@almanya.shop,Plagwitz,Münih,Almanya,Kadın,368.53,2026-02-01,1
10,Ioana,Ionescu,ioana.ionescu@romanya.shop,Sud,Yaş,Romanya,Erkek,6273.87,2026-01-22,1
11,Nikos,Papadopoulos,nikos.papadopoulos@yunanistan.shop,Glyfada,Atina,Yunanistan,Kadın,15919.06,2026-01-26,1
12,Marco,Bianchi,marco.bianchi@i̇talya.shop,San Donato,Torino,İtalya,Kadın,8721.98,2026-01-09,1
13,Cristian,Stan,cristian.stan@romanya.shop,Centru,Timişoara,Romanya,Kadın,33475.75,2026-02-19,1
14,Elif,Koç,elif.koç@türkiye.shop,Kadıköy,Eskişehir,Türkiye,Kadın,34485.17,2026-02-07,1
15,Ivan,Dimitrov,ivan.dimitrov@bulgaristan.shop,Centar,Sofya,Bulgaristan,Kadın,18457.66,2026-02-03,1
16,Murat,Yılmaz,murat.yılmaz@türkiye.shop,Çankaya,Antalya,Türkiye,Erkek,3047.06,2026-01-17,1
17,Anna,Fontana,anna.fontana@i̇talya.shop,Centro,Trieste,İtalya,Kadın,6107.98,2026-02-13,1
18,Ana,Ivić,ana.ivić@sırbistan.shop,Zemun,Niş,Sırbistan,Erkek,11544.93,2026-01-10,1
19,Anna,Fontana,anna.fontana@i̇talya.shop,Monreale,Verona,İtalya,Kadın,36568.68,2026-01-03,1
20,Zeynep,Arslan,zeynep.arslan@türkiye.shop,Kadıköy,Ankara,Türkiye,Kadın,35388.78,2026-02-14,1
21,Mihai,Radu,mihai.radu@romanya.shop,Centru,Yaş,Romanya,Erkek,5572.99,2026-01-03,1
22,Jelena,Petrović,jelena.petrović@sırbistan.shop,Centar,Belgrad,Sırbistan,Erkek,22295.78,2026-02-10,1
23,Elena,Marin,elena.marin@romanya.shop,Tomis,Timişoara,Romanya,Kadın,13515.24,2026-01-29,1
24,Marco,Bianchi,marco.bianchi@i̇talya.shop,San Donato,Verona,İtalya,Kadın,34638.97,2026-01-07,1
25,Fatma,Çelik,fatma.çelik@türkiye.shop,Nilüfer,Bursa,Türkiye,Kadın,8370.13,2026-01-30,1
26,Matteo,Ricci,matteo.ricci@i̇talya.shop,Barcola,Torino,İtalya,Erkek,23817.59,2026-01-08,1
27,Ayşe,Demir,ayşe.demir@türkiye.shop,Konak,Adana,Türkiye,Erkek,38323.7,2026-01-30,1
28,Fatma,Çelik,fatma.çelik@türkiye.shop,Kadıköy,Bursa,Türkiye,Kadın,1896.82,2026-01-17,1
29,Nikos,Papadopoulos,nikos.papadopoulos@yunanistan.shop,Kalamaria,Gümülcine,Yunanistan,Kadın,24819.74,2026-01-12,1
30,Mihai,Radu,mihai.radu@romanya.shop,Sector 1,Bükreş,Romanya,Kadın,38449.92,2026-02-17,1
31,Matteo,Ricci,matteo.ricci@i̇talya.shop,San Donato,Trieste,İtalya,Kadın,39081.26,2026-02-03,1
32,Hanna,Schneider,hanna.schneider@almanya.shop,Pasing,Leipzig,Almanya,Kadın,10597.35,2026-01-10,1
33,Ioana,Ionescu,ioana.ionescu@romanya.shop,Tomis,Yaş,Romanya,Kadın,27390.45,2026-02-05,1
34,Felix,Klein,felix.klein@almanya.shop,Zentrum,Münih,Almanya,Erkek,9428.06,2026-02-04,1
35,Ioana,Ionescu,ioana.ionescu@romanya.shop,Centru,Köstence,Romanya,Erkek,28111.16,2026-02-11,1
36,Jelena,Petrović,jelena.petrović@sırbistan.shop,Centar,Niş,Sırbistan,Kadın,32666.61,2026-02-01,1
37,Murat,Yılmaz,murat.yılmaz@türkiye.shop,Çankaya,İstanbul,Türkiye,Erkek,4104.57,2026-01-21,1
38,Ayşe,Demir,ayşe.demir@türkiye.shop,Kadıköy,Ankara,Türkiye,Erkek,3049.58,2026-01-15,1
39,Anna,Kowalska,anna.kowalska@polonya.shop,Centrum,Krakow,Polonya,Erkek,29795.45,2026-02-04,1
40,Marco,Bianchi,marco.bianchi@i̇talya.shop,Barcola,Verona,İtalya,Kadın,11389.77,2026-01-04,1
41,Anna,Kowalska,anna.kowalska@polonya.shop,Śródmieście,Varşova,Polonya,Erkek,13833.88,2026-02-06,1
42,Marie,Richter,marie.richter@almanya.shop,Pasing,Leipzig,Almanya,Erkek,18925.04,2026-02-04,1
43,Georgi,Nikolov,georgi.nikolov@bulgaristan.shop,Izgrev,Filibe,Bulgaristan,Kadın,21091.87,2026-02-18,1
44,Fatma,Çelik,fatma.çelik@türkiye.shop,Osmangazi,Antalya,Türkiye,Kadın,36679.06,2026-02-07,1
45,Jonas,Fischer,jonas.fischer@almanya.shop,Mitte,Stuttgart,Almanya,Erkek,38770.31,2026-01-05,1
46,Nikola,Marković,nikola.marković@sırbistan.shop,Centar,Novi Sad,Sırbistan,Erkek,39394.51,2026-01-19,1
47,Marko,Jovanović,marko.jovanović@sırbistan.shop,Mediana,Novi Sad,Sırbistan,Kadın,1694.33,2026-01-03,1
48,Ana,Ivić,ana.ivić@sırbistan.shop,Mediana,Niş,Sırbistan,Erkek,13891.15,2026-02-09,1
49,Andrei,Popescu,andrei.popescu@romanya.shop,Centru,Bükreş,Romanya,Erkek,5682.4,2026-01-03,1
50,Jonas,Fischer,jonas.fischer@almanya.shop,Mitte,Berlin,Almanya,Erkek,19933.23,2026-02-05,1
51,Mehmet,Kaya,mehmet.kaya@türkiye.shop,Osmangazi,Eskişehir,Türkiye,Kadın,24760.32,2026-01-31,1
52,Anna,Kowalska,anna.kowalska@polonya.shop,Śródmieście,Krakow,Polonya,Erkek,11993.0,2026-02-12,1
53,Hanna,Schneider,hanna.schneider@almanya.shop,Zentrum,Köln,Almanya,Erkek,10731.2,2026-02-13,1
54,Maria,Dimitriou,maria.dimitriou@yunanistan.shop,Glyfada,Selanik,Yunanistan,Erkek,13852.96,2026-02-13,1
55,Murat,Yılmaz,murat.yılmaz@türkiye.shop,Osmangazi,Ankara,Türkiye,Erkek,23818.02,2026-02-06,1
56,Jonas,Fischer,jonas.fischer@almanya.shop,Zentrum,Köln,Almanya,Kadın,6454.34,2026-01-31,1
57,Kamil,Nowak,kamil.nowak@polonya.shop,Centrum,Wroclaw,Polonya,Erkek,28151.29,2026-01-09,1
58,Kamil,Nowak,kamil.nowak@polonya.shop,Centrum,Varşova,Polonya,Erkek,12925.85,2026-01-29,1
59,Georgios,Kostas,georgios.kostas@yunanistan.shop,Glyfada,Gümülcine,Yunanistan,Kadın,36863.56,2026-02-20,1
60,Eleni,Nikolaou,eleni.nikolaou@yunanistan.shop,Glyfada,Atina,Yunanistan,Kadın,13307.24,2026-01-28,1
61,Lukas,Müller,lukas.müller@almanya.shop,Altona,Köln,Almanya,Kadın,18681.16,2026-01-06,1
62,Ali,Şahin,ali.şahin@türkiye.shop,Şişli,Eskişehir,Türkiye,Erkek,24312.96,2026-01-09,1
63,Alessandro,Conti,alessandro.conti@i̇talya.shop,Centro,Trieste,İtalya,Erkek,31270.87,2026-01-06,1
64,Nikos,Papadopoulos,nikos.papadopoulos@yunanistan.shop,Glyfada,Atina,Yunanistan,Erkek,6351.88,2026-01-28,1
65,Fatma,Çelik,fatma.çelik@türkiye.shop,Beşiktaş,Ankara,Türkiye,Kadın,1542.63,2026-02-20,1
66,Ivan,Dimitrov,ivan.dimitrov@bulgaristan.shop,Lozenets,Varna,Bulgaristan,Erkek,30129.6,2026-02-03,1
67,Murat,Yılmaz,murat.yılmaz@türkiye.shop,Osmangazi,Bursa,Türkiye,Kadın,37337.88,2026-01-17,1
68,Nikola,Marković,nikola.marković@sırbistan.shop,Mediana,Novi Sad,Sırbistan,Kadın,19532.74,2026-01-12,1
69,Petar,Ivanov,petar.ivanov@bulgaristan.shop,Centar,Varna,Bulgaristan,Erkek,2863.02,2026-01-27,1
